game_id,game_outcome,players,ranked_status,timestamp
163353063,1,loui8sdstk|||,1,2017-02-08 05:26:23.976
163353959,1,skandaras|||,1,2017-02-08 06:38:44.041
163356085,1,mwaxy|||,1,2017-02-08 09:10:19.491
163356652,0,skandaras|||,1,2017-02-08 09:48:00.938
163357666,0,loui8sdstk|skandaras||,1,2017-02-08 10:55:50.849
163358411,1,loui8sdstk|skandaras||,1,2017-02-08 11:50:00.281
163381992,0,menelaus34|||,0,2017-02-08 02:46:52.277
163402543,1,loui8sdstk|||,1,2017-02-08 04:37:42.475
163403269,0,mwaxy|||,1,2017-02-08 05:42:38.467
163406712,1,mwaxy|||,1,2017-02-08 09:56:17.037
163430929,1,loui8sdstk|||,1,2017-02-08 21:34:43.411
163445344,0,menelaus34|||,1,2017-02-09 04:50:55.089
163452030,1,menelaus34|||,0,2017-02-09 03:58:53.978
163476153,1,skandaras|||,1,2017-02-09 11:45:13.281
163481703,0,skandaras|||,1,2017-02-09 09:01:23.177
163483314,0,dicedstk|skandaras||,1,2017-02-09 10:00:14.181
163490672,1,skandaras|diggs|dicedstk|,0,2017-02-09 10:50:13.585
163575037,1,loui8sdstk|diggs||,1,2017-02-10 05:45:54.687
163575279,0,mwaxy|||,1,2017-02-10 05:55:39.731
163611964,1,mwaxy|||,1,2017-02-10 10:29:20.144
163624296,1,mwaxy|||,1,2017-02-10 12:09:47.247
163682216,0,mwaxy|||,1,2017-02-11 03:02:22.128
163682523,1,smatties|skandaras||,1,2017-02-11 03:17:32.194
163682778,0,smatties|skandaras||,1,2017-02-11 03:29:26.185
163683139,1,mwaxy|||,1,2017-02-11 03:46:05.499
163685985,1,mwaxy|||,1,2017-02-11 05:53:50.781
163760406,1,menelaus34|||,0,2017-02-11 08:26:32.539
163763857,0,skandaras|menelaus34||,0,2017-02-11 10:33:48.574
163771711,,,,2017-02-11 10:18:11.073
163780920,,,,2017-02-11 09:51:39.406
163781019,,,,2017-02-11 09:56:43.890
163811326,0,skandaras|menelaus34||,1,2017-02-12 03:02:24.175
163819256,,,,2017-02-12 09:06:10.851
163844154,1,skandaras|menelaus34|loui8sdstk|diggs,0,2017-02-12 06:59:23.951
163861330,0,smatties|skandaras||,1,2017-02-12 10:47:18.677
163869637,0,mwaxy|||,1,2017-02-13 05:52:55.148
163946089,0,mwaxy|||,0,2017-02-13 08:46:08.463
163968735,0,skandaras|loui8sdstk|diggs|,0,2017-02-13 10:24:39.653
163976081,0,skandaras|||,1,2017-02-13 11:18:41.349
163989638,0,loui8sdstk|||,1,2017-02-13 22:38:59.550
163989791,0,loui8sdstk|||,1,2017-02-13 23:22:14.152
164074025,1,loui8sdstk|||,1,2017-02-15 06:04:27.921
164078067,1,loui8sdstk|skandaras||,1,2017-02-15 10:39:19.484
164078601,0,loui8sdstk|skandaras||,1,2017-02-15 11:15:05.732
164084554,1,skandaras|||,1,2017-02-15 06:50:38.717
164086809,1,skandaras|||,1,2017-02-15 09:21:54.398
164089197,0,loui8sdstk|skandaras||,1,2017-02-15 12:00:09.606
164195019,0,loui8sdstk|||,1,2017-02-16 05:28:54.256
164285460,1,loui8sdstk|||,1,2017-02-17 03:07:02.223
164287616,0,mwaxy|||,1,2017-02-17 05:41:35.591
164304854,0,loui8sdstk|||,1,2017-02-17 02:20:09.256
164307605,1,loui8sdstk|||,1,2017-02-17 05:45:23.152
164343426,1,mwaxy|||,0,2017-02-17 07:38:35.356
164355205,1,smatties|skandaras||,1,2017-02-17 12:02:23.668
164364367,0,smatties|skandaras||,1,2017-02-17 11:25:51.315
164393851,1,menelaus34|||,0,2017-02-18 03:03:36.395
164405813,0,dicedstk|diggs|loui8sdstk|,0,2017-02-18 04:30:45.236
164414670,1,loui8sdstk|diggs||,1,2017-02-18 05:20:26.875
164422416,0,mwaxy|||,1,2017-02-18 03:26:08.680
164507096,1,menelaus34|||,0,2017-02-18 11:05:35.758
164518138,0,mwaxy|||,1,2017-02-19 02:04:11.903
164518858,0,loui8sdstk|skandaras||,1,2017-02-19 02:47:31.468
164520944,1,mwaxy|||,1,2017-02-18 11:00:13.436
164528038,0,loui8sdstk|skandaras||,1,2017-02-19 02:04:59.503
164528739,1,mwaxy|||,1,2017-02-19 02:50:16.192
164564340,0,menelaus34|||,0,2017-02-19 05:42:53.170
164566754,0,skandaras|smatties|bumster|diggs,0,2017-02-19 07:09:14.065
164568015,1,skandaras|smatties|diggs|bumster,0,2017-02-19 07:49:45.073
164578731,1,skandaras|||,1,2017-02-19 11:26:24.845
164642620,0,loui8sdstk|||,1,2017-02-20 00:42:16.176
164648187,1,loui8sdstk|skandaras||,1,2017-02-20 08:15:59.022
164652660,0,loui8sdstk|||,1,2017-02-20 01:25:04.525
164652938,0,loui8sdstk|||,1,2017-02-20 02:02:52.829
164657231,1,loui8sdstk|skandaras||,1,2017-02-20 07:41:00.246
164658918,0,loui8sdstk|skandaras||,1,2017-02-20 09:19:08.869
164702609,0,menelaus34|||,0,2017-02-20 03:27:01.403
164703255,0,menelaus34|||,0,2017-02-20 04:13:35.703
164730204,1,loui8sdstk|skandaras||,1,2017-02-20 10:08:58.916
164731508,0,dicedstk|skandaras||,1,2017-02-20 11:23:23.698
164736349,1,loui8sdstk|||,1,2017-02-21 02:55:42.738
164739633,0,skandaras|||,1,2017-02-21 07:27:36.310
164740498,0,dicedstk|skandaras||,1,2017-02-20 10:44:48.951
164745245,0,loui8sdstk|||,1,2017-02-21 01:28:14.429
164745485,0,loui8sdstk|||,1,2017-02-21 02:01:33.341
164774181,1,skandaras|||,1,2017-02-21 12:20:22.270
164779085,0,loui8sdstk|||,1,2017-02-22 04:33:09.584
164780220,1,skandaras|||,1,2017-02-21 08:39:45.483
164787435,0,loui8sdstk|||,1,2017-02-22 02:37:08.551
164787753,1,loui8sdstk|||,1,2017-02-22 03:13:31.864
164788068,1,loui8sdstk|||,1,2017-02-22 03:48:47.197
164789006,1,loui8sdstk|||,1,2017-02-22 05:11:48.175
164789647,1,loui8sdstk|||,1,2017-02-22 06:01:32.631
164883632,0,skandaras|||,1,2017-02-22 09:46:17.181
164901955,0,skandaras|||,1,2017-02-22 08:39:46.928
164902533,0,skandaras|||,1,2017-02-22 09:14:22.098
165032150,1,loui8sdstk|||,1,2017-02-23 03:54:42.450
165034714,0,skandaras|||,1,2017-02-23 07:30:48.788
165037599,0,smatties|skandaras||,1,2017-02-23 10:50:45.513
165044045,1,skandaras|||,1,2017-02-23 06:39:37.807
165047553,1,dicedstk|||,1,2017-02-23 10:45:28.185
165048317,1,smatties|dicedstk|skandaras|,1,2017-02-23 11:34:45.839
165073438,1,mwaxy|||,1,2017-02-24 04:41:04.065
165073928,1,mwaxy|||,1,2017-02-24 05:32:04.140
165076941,0,mwaxy|||,1,2017-02-24 10:06:09.770
165077446,1,mwaxy|||,1,2017-02-24 10:44:36.423
165083679,0,loui8sdstk|||,1,2017-02-24 05:05:51.750
165186052,1,loui8sdstk|diggs||,1,2017-02-25 06:53:19.347
165191460,1,smatties|skandaras||,1,2017-02-24 23:33:53.271
165196511,1,loui8sdstk|mwaxy|diggs|,1,2017-02-25 07:37:52.324
165274178,1,mwaxy|||,0,2017-02-25 04:28:59.460
165303004,0,loui8sdstk|mwaxy|diggs|menelaus34,0,2017-02-25 08:15:23.577
165305926,1,mwaxy|loui8sdstk|menelaus34|diggs,0,2017-02-25 09:08:53.282
165344963,1,smatties|loui8sdstk|skandaras|,1,2017-02-26 02:57:48.418
165346538,0,smatties|loui8sdstk|skandaras|,1,2017-02-26 05:00:13.944
165353999,1,loui8sdstk|skandaras||,1,2017-02-26 01:24:51.250
165354435,1,loui8sdstk|skandaras||,1,2017-02-26 02:11:22.187
165355795,0,loui8sdstk|skandaras|mwaxy|,1,2017-02-26 04:06:48.952
165449208,0,loui8sdstk|diggs||,1,2017-02-27 09:52:41.012
165450094,1,smatties|skandaras||,1,2017-02-26 09:46:26.534
165450649,1,smatties|skandaras||,1,2017-02-26 10:27:06.572
165451087,1,skandaras|||,1,2017-02-26 11:04:03.310
165454657,1,loui8sdstk|diggs||,1,2017-02-27 02:27:30.610
165579658,,,,2017-02-27 10:51:31.135
165583134,0,loui8sdstk|||,1,2017-02-28 00:08:35.068
165586445,0,loui8sdstk|||,1,2017-02-28 06:12:27.497
165593320,1,loui8sdstk|||,1,2017-02-28 00:46:59.340
165664531,1,loui8sdstk|||,1,2017-03-01 00:31:49.198
165666474,1,loui8sdstk|||,1,2017-03-01 06:10:13.435
165669107,1,skandaras|||,1,2017-03-01 09:19:32.527
165674836,0,loui8sdstk|||,1,2017-03-01 01:14:16.687
165676060,0,loui8sdstk|||,1,2017-03-01 05:36:34.273
165679938,0,mwaxy|||,1,2017-03-01 10:12:31.579
165731414,1,dicedstk|skandaras||,1,2017-03-01 11:52:37.482
165734150,0,loui8sdstk|||,1,2017-03-01 23:33:19.854
165734317,1,loui8sdstk|||,1,2017-03-02 00:10:49.063
165738955,0,loui8sdstk|||,1,2017-03-02 08:08:19.927
165740125,0,dicedstk|skandaras||,1,2017-03-01 10:24:43.509
165740729,0,dicedstk|skandaras||,1,2017-03-01 11:07:54.322
165743887,1,loui8sdstk|||,1,2017-03-01 22:45:49.871
165747628,1,mwaxy|||,1,2017-03-02 06:28:03.189
165748124,0,mwaxy|||,1,2017-03-02 07:06:41.640
165831444,1,skandaras|||,1,2017-03-02 11:07:15.025
165835171,1,loui8sdstk|||,1,2017-03-03 00:31:08.360
165835544,1,mwaxy|||,1,2017-03-03 01:43:32.962
165836756,1,mwaxy|||,1,2017-03-03 04:28:20.533
165837074,0,mwaxy|||,1,2017-03-03 05:00:45.757
165837361,0,mwaxy|||,1,2017-03-03 05:27:24.180
165840038,0,skandaras|||,1,2017-03-02 09:27:19.752
165840719,0,skandaras|||,1,2017-03-02 10:13:15.865
165841307,1,mwaxy|||,1,2017-03-02 10:55:55.839
165844624,0,mwaxy|||,1,2017-03-02 22:09:04.242
165845771,1,mwaxy|||,1,2017-03-03 02:18:23.514
165910989,1,mwaxy|||,1,2017-03-03 10:44:27.493
165911569,1,mwaxy|||,1,2017-03-03 11:26:55.975
165913075,1,loui8sdstk|diggs||,1,2017-03-03 13:37:30.002
165916280,0,mwaxy|||,1,2017-03-04 01:45:40.025
165917919,1,smatties|loui8sdstk|skandaras|,1,2017-03-04 04:21:30.807
165918616,0,smatties|skandaras|loui9sdstk|,1,2017-03-04 05:18:16.597
165922495,0,loui8sdstk|diggs||,1,2017-03-03 12:53:45.782
165926616,0,loui8sdstk|skandaras||,1,2017-03-04 02:29:01.010
165927203,1,smatties|loui8sdstk|skandaras|,1,2017-03-04 03:27:25.901
165929162,0,mwaxy|||,1,2017-03-04 06:03:08.277
166069987,1,smatties|skandaras|loui9sdstk|,1,2017-03-05 05:11:44.078
166161047,0,smatties|skandaras||,1,2017-03-05 06:29:14.539
166163550,1,dicedstk|||,1,2017-03-05 09:53:59.073
166163953,0,smatties|dicedstk|skandaras|,1,2017-03-05 10:27:18.239
166164638,0,skandaras|||,1,2017-03-05 11:25:22.652
166167379,0,loui8sdstk|||,1,2017-03-06 00:02:46.811
