game_id,attr,val
183032611,game_outcome,0
183032611,ranked_status,0
183135633,player0,dicedstk
183135633,game_outcome,0
183135633,ranked_status,0
183138089,player0,dicedstk
183138089,game_outcome,1
183138089,ranked_status,0
183142436,player0,dicedstk
183142436,game_outcome,1
183142436,ranked_status,0
183143162,player0,dicedstk
183143162,game_outcome,1
183143162,ranked_status,0
183144108,player0,dicedstk
183144108,game_outcome,1
183144108,ranked_status,0
183288655,player0,dicedstk
183288655,game_outcome,1
183288655,ranked_status,0
183322031,player0,dicedstk
183322031,game_outcome,1
183322031,ranked_status,0
183330590,player0,dicedstk
183330590,game_outcome,1
183330590,ranked_status,0
183534024,player0,dicedstk
183534024,game_outcome,0
183534024,ranked_status,0
183535512,player0,dicedstk
183535512,game_outcome,1
183535512,ranked_status,0
183575109,player0,dicedstk
183575109,game_outcome,0
183575109,ranked_status,0
183629742,player0,dicedstk
183629742,game_outcome,0
183629742,ranked_status,0
183636318,player0,dicedstk
183636318,game_outcome,1
183636318,ranked_status,0
183637969,player0,dicedstk
183637969,game_outcome,0
183637969,ranked_status,0
183791690,player0,dicedstk
183791690,game_outcome,0
183791690,ranked_status,0
183792516,player0,dicedstk
183792516,game_outcome,1
183792516,ranked_status,0
183794760,player0,dicedstk
183794760,game_outcome,0
183794760,ranked_status,0
183820466,player0,dicedstk
183820466,game_outcome,0
183820466,ranked_status,0
183897649,player0,dicedstk
183897649,game_outcome,0
183897649,ranked_status,0
183899674,player0,dicedstk
183899674,game_outcome,1
183899674,ranked_status,0
183908375,player0,dicedstk
183908375,game_outcome,1
183908375,ranked_status,0
183961042,player0,dicedstk
183961042,game_outcome,1
183961042,ranked_status,0
184111362,player0,dicedstk
184111362,game_outcome,1
184111362,ranked_status,0
184112806,player0,dicedstk
184112806,game_outcome,0
184112806,ranked_status,0
184172199,player0,dicedstk
184172199,game_outcome,0
184172199,ranked_status,0
184209339,player0,dicedstk
184209339,game_outcome,0
184209339,ranked_status,0
184247141,player0,dicedstk
184247141,game_outcome,1
184247141,ranked_status,0
184340284,player0,dicedstk
184340284,game_outcome,1
184340284,ranked_status,0
184349832,player0,dicedstk
184349832,game_outcome,0
184349832,ranked_status,0
184353533,player0,skandaras
184353533,player1,dicedstk
184353533,game_outcome,0
184353533,ranked_status,0
184407967,player0,dicedstk
184407967,game_outcome,0
184407967,ranked_status,0
184409284,player0,dicedstk
184409284,game_outcome,0
184409284,ranked_status,0
184424741,player0,dicedstk
184424741,game_outcome,1
184424741,ranked_status,0
184436312,player0,dicedstk
184436312,game_outcome,0
184436312,ranked_status,0
184722121,player0,dicedstk
184722121,game_outcome,0
184722121,ranked_status,0
184723184,player0,dicedstk
184723184,game_outcome,0
184723184,ranked_status,0
184941102,player0,dicedstk
184941102,game_outcome,1
184941102,ranked_status,0
184953305,player0,dicedstk
184953305,game_outcome,0
184953305,ranked_status,0
185080445,player0,dicedstk
185080445,game_outcome,1
185080445,ranked_status,0
185235494,player0,dicedstk
185235494,game_outcome,1
185235494,ranked_status,0
185324137,player0,dicedstk
185324137,game_outcome,0
185324137,ranked_status,0
185332212,player0,dicedstk
185332212,game_outcome,0
185332212,ranked_status,0
185362882,player0,dicedstk
185362882,game_outcome,0
185362882,ranked_status,0
185365988,player0,dicedstk
185365988,game_outcome,0
185365988,ranked_status,0
185374179,player0,dicedstk
185374179,game_outcome,1
185374179,ranked_status,0
185380697,player0,dicedstk
185380697,game_outcome,0
185380697,ranked_status,0
185981574,player0,dicedstk
185981574,game_outcome,0
185981574,ranked_status,0
186201306,player0,dicedstk
186201306,game_outcome,1
186201306,ranked_status,0
186202682,player0,dicedstk
186202682,game_outcome,0
186202682,ranked_status,0
188773096,player0,dicedstk
188773096,game_outcome,1
188773096,ranked_status,0
188826399,player0,dicedstk
188826399,game_outcome,1
188826399,ranked_status,0
188881807,player0,dicedstk
188881807,game_outcome,1
188881807,ranked_status,0
188952781,player0,dicedstk
188952781,game_outcome,1
188952781,ranked_status,0
188964380,player0,dicedstk
188964380,game_outcome,1
188964380,ranked_status,0
189065594,player0,dicedstk
189065594,game_outcome,1
189065594,ranked_status,0
189097542,player0,dicedstk
189097542,game_outcome,0
189097542,ranked_status,0
189118882,player0,dicedstk
189118882,game_outcome,0
189118882,ranked_status,0
189212448,player0,dicedstk
189212448,game_outcome,0
189212448,ranked_status,0
189621797,player0,dicedstk
189621797,game_outcome,1
189621797,ranked_status,0
189964040,player0,dicedstk
189964040,game_outcome,0
189964040,ranked_status,0
199267165,player0,dicedstk
199267165,game_outcome,1
199267165,ranked_status,0
199366720,player0,dicedstk
199366720,game_outcome,0
199366720,ranked_status,0
199545971,player0,dicedstk
199545971,game_outcome,0
199545971,ranked_status,0
199691860,player0,dicedstk
199691860,game_outcome,1
199691860,ranked_status,0
199747945,player0,dicedstk
199747945,game_outcome,0
199747945,ranked_status,0
199961343,player0,dicedstk
199961343,game_outcome,1
199961343,ranked_status,0
176407459,player0,skandaras
176407459,player1,dicedstk
176407459,player2,diggs
176407459,game_outcome,1
176407459,ranked_status,0
176416372,player0,loui8sdstk
176416372,player1,skandaras
176416372,player2,diggs
176416372,game_outcome,1
176416372,ranked_status,0
176594234,player0,loui8sdstk
176594234,player1,skandaras
176594234,player2,menelaus34
176594234,player3,diggs
176594234,game_outcome,1
176594234,ranked_status,1
176617521,player0,skandaras
176617521,player1,dicedstk
176617521,player2,diggs
176617521,game_outcome,0
176617521,ranked_status,0
176629759,player0,skandaras
176629759,player1,diggs
176629759,player2,bumster
176629759,player3,loui8sdstk
176629759,game_outcome,0
176629759,ranked_status,1
176641111,player0,skandaras
176641111,player1,diggs
176641111,player2,bumster
176641111,player3,loui8sdstk
176641111,game_outcome,0
176641111,ranked_status,1
176737693,player0,loui8sdstk
176737693,player1,skandaras
176737693,player2,diggs
176737693,game_outcome,1
176737693,ranked_status,0
176835876,player0,loui8sdstk
176835876,player1,dicedstk
176835876,player2,bumster
176835876,player3,diggs
176835876,game_outcome,1
176835876,ranked_status,1
176888185,player0,loui8sdstk
176888185,player1,diggs
176888185,game_outcome,1
176888185,ranked_status,0
176897603,player0,loui8sdstk
176897603,player1,diggs
176897603,game_outcome,1
176897603,ranked_status,0
177006333,player0,loui8sdstk
177006333,player1,diggs
177006333,game_outcome,0
177006333,ranked_status,0
177015706,player0,loui8sdstk
177015706,player1,diggs
177015706,game_outcome,1
177015706,ranked_status,0
177027312,player0,diggs
177027312,player1,bumster
177027312,player2,loui8sdstk
177027312,game_outcome,1
177027312,ranked_status,1
177465330,player0,diggs
177465330,player1,skandaras
177465330,player2,bumster
177465330,player3,dicedstk
177465330,game_outcome,1
177465330,ranked_status,1
177655014,player0,skandaras
177655014,player1,menelaus34
177655014,player2,diggs
177655014,player3,loui8sdstk
177655014,game_outcome,1
177655014,ranked_status,1
177656591,player0,skandaras
177656591,player1,diggs
177656591,player2,menelaus34
177656591,player3,loui8sdstk
177656591,game_outcome,1
