game_id,main_player,ranked_status,win_status,0,1,2,3,4,5,6,7,8,9
180329674,loui8sdstk,TRUE,FALSE,crustytoes,shavesen,spartacus,theshowoff,thachamp,mcnugget,twinky,loui8sdstk,patsoli,youareterrible
180311659,loui8sdstk,TRUE,FALSE,poisonlemons,33333bo,holystreet,bountyhunterr,hideon7op,loui8sdstk,thepoison,rdream,blupingu,tngnevermiss
180813532,skandaras,TRUE,TRUE,destriant,lkchilly,tokyocold,cindybaby,pangz1,mremms,loui8sdstk,skandaras,bigdownlow,alexkarnage
180823015,skandaras,TRUE,TRUE,skandaras,sharksinthesalsa,littlej0hn,lucifer888,cnsmile,deadp00l,bestanniebot,zyrkjp,getgoodlad,lordcheeky
180822584,skandaras,TRUE,TRUE,speeddr,rootslider,weirwood,skandaras,moneygor,adcprefer,seongjung,okkonomiyakki,jjaknun,sungclean
180812044,skandaras,TRUE,FALSE,theunpopped,imisscs,reluctance,paladinofdemacia,cypor,lukekuracbajan,vmmmmmmmmmmmmmmm,skandaras,monks,makeouthill666
180776296,skandaras,TRUE,FALSE,anoldfather,imamazingj,mapletroy,masterlong,cccharles,skandaras,dicedstk,menelaus34,itburnzwhenipvp,goldcrown
180775625,skandaras,TRUE,FALSE,olivercat,parkleo,chefknife,skandaras,dicedstk,losethisudie,shortestyordle,athenaa,hidink,sktt1jonghoon
180774789,skandaras,TRUE,TRUE,skandaras,tekeisthemekexd,slaytop,hideoni3ush,ukbae,oomg,tua,kaiiroyaldor,songpengju,millionofsissy
180716826,skandaras,TRUE,FALSE,wheaters,tjz,loui8sdstk,skandaras,dicedstk,linlin,nightse,eastau,im30noob,fate666
180716186,skandaras,TRUE,TRUE,phatvape,roboo,mesial,duxo,hulksmashkapow,loui8sdstk,skandaras,dicedstk,bukkakalypse,fallenangel
180776296,menelaus34,TRUE,FALSE,anoldfather,imamazingj,mapletroy,masterlong,cccharles,skandaras,dicedstk,menelaus34,itburnzwhenipvp,goldcrown
180753612,menelaus34,TRUE,TRUE,hermer,vóltage,austinkeen,youfather000,nicejacky,aruke,blazer29,dzisa7,menelaus34,shadowking123
180715449,menelaus34,TRUE,TRUE,dicedstk,menelaus34,siacci1,minion101,gasablanca,geneticallybuild,themelonlord,blluer,aomgxo,kevinpeng
180714867,menelaus34,TRUE,TRUE,drpandora,menelaus34,hala1limi,candymama,gumpxu,rioraybee,since1989,woot2gud4u,cheesym8,xrolfsartoriusx
180546297,menelaus34,TRUE,TRUE,rawdogfeeder,kansaiking,brocasaurus,woolfy,p180,dicedstk,menelaus34,lllumlnaml,daemintsunayoshi,flimsysimsy
180392811,menelaus34,TRUE,TRUE,arminftw,xnatsudragneel,dicedstk,menelaus34,vexed,royyes,vasili,areyoucold,autisticbotlane,negajangim2
180372904,menelaus34,TRUE,TRUE,gonz1lla,dicedstk,menelaus34,retardedporo,autisticbotlane,infiniteimpetus,soulfury,unley,alizander,emptysnow
180776296,dicedstk,TRUE,FALSE,anoldfather,imamazingj,mapletroy,masterlong,cccharles,skandaras,dicedstk,menelaus34,itburnzwhenipvp,goldcrown
180775625,dicedstk,TRUE,FALSE,olivercat,parkleo,chefknife,skandaras,dicedstk,losethisudie,shortestyordle,athenaa,hidink,sktt1jonghoon
180716826,dicedstk,TRUE,FALSE,wheaters,tjz,loui8sdstk,skandaras,dicedstk,linlin,nightse,eastau,im30noob,fate666
180716186,dicedstk,TRUE,TRUE,phatvape,roboo,mesial,duxo,hulksmashkapow,loui8sdstk,skandaras,dicedstk,bukkakalypse,fallenangel
180715449,dicedstk,TRUE,TRUE,dicedstk,menelaus34,siacci1,minion101,gasablanca,geneticallybuild,themelonlord,blluer,aomgxo,kevinpeng
180704973,dicedstk,TRUE,TRUE,dicedstk,bootsy112,qelow,blluer,aomgxo,xbiggsy,tgarradir,thealphaman97,kingvarianwrynn,evalution
180547102,dicedstk,TRUE,FALSE,silverdeath,sayakahonda,namz,stompacrusty,fizban0,lordgimpsplash,dicedstk,obccaker,jesterslilbox,neostriker
180546297,dicedstk,TRUE,TRUE,rawdogfeeder,kansaiking,brocasaurus,woolfy,p180,dicedstk,menelaus34,lllumlnaml,daemintsunayoshi,flimsysimsy
180439027,dicedstk,TRUE,TRUE,kelts,boyd,isanagi,rief,rosmarinus,wimtinton,loui8sdstk,dicedstk,shopping,thatzright
180438890,dicedstk,TRUE,FALSE,edgeville,rilli,victormao,blueje,summoner24,shadownight225,notautistic,vickslord,greyg00se,dicedstk
180378341,dicedstk,TRUE,TRUE,amazingbattleax,boostedbonabo,callmeswag,trextoby,modrearyon9,treetagger,dicedstk,jaling,theshadowplayer,holidayqi
180396877,dicedstk,TRUE,TRUE,rotten5orange,anthonyfantano,boxthrasher,dicedstk,lightning200,daddyno,bananso,moraxe,supernumerary,sduncan
180393840,dicedstk,TRUE,TRUE,rockneverdie,dunkindonuts01,de4dey3j0e,lymm,ogolismlz,saphynoob,syrup,killpenta,coreyisbest,dicedstk
180392811,dicedstk,TRUE,TRUE,arminftw,xnatsudragneel,dicedstk,menelaus34,vexed,royyes,vasili,areyoucold,autisticbotlane,negajangim2
180372904,dicedstk,TRUE,TRUE,gonz1lla,dicedstk,menelaus34,retardedporo,autisticbotlane,infiniteimpetus,soulfury,unley,alizander,emptysnow
180372174,dicedstk,TRUE,TRUE,riggd,ðîê,slayersdownunda,imtheanimal,mcfluffymuffin,hexor,kingskullo,samsonziyambi,dicedstk,mroverghost
