game_id,main_player,win_status,0,1,2,3,4,5,6,7,8,9
179729127,loui8sdstk,True,yourdeathislegit,sir ching chong,janken pon,tran inc,byakuran,loui8s dstk,skandaras,im from jungle,my name is bong,qwkekfsd
179738196,loui8sdstk,True,loui8s dstk,rap3got,sammyspuds,golan,locklan1,shimapan,cid tha,finnian,kostaden,old el pepe
179736503,loui8sdstk,False,loui8s dstk,shadow slime,gguang,shadow harper,kiritolove,mimlol,recommendation,jim locker,jerrisan,bilibili
179378460,loui8sdstk,True,d n a trix,defaceyer,loui8s dstk,skandaras,dicedstk,mr mammoth,ballsack,xildyn,zixic,rooroorooroo
179138427,loui8sdstk,False,loui8s dstk,skandaras,dicedstk,emmaaaah,shenanigan,ebejerlad,hitsus,gay homo,stryder,gif
178337735,smatties,False,ginyflaps,kingofdrift,trickeybusiness,yujie liang,panda gege,smatties,skandaras,tinytiger24,dicedstk,menelaus34
178279785,smatties,True,stayhomewarrior,the dank ninja,bangggg tot,madlife tct,gohan xp ,p3ngyu,shinsuke,bnmtoto,smatties,skandaras
178260971,smatties,False,zephfori,patronium,rys darker,rys mayday,rys white,loui8s dstk,smatties,skandaras,health pot ,furo
178152014,smatties,True,sahannybill,darkstarshooter,ganjasaurus,5ri,dernz,solotsj,smatties,skandaras,dicedstk,gobby giver
177628756,smatties,True,slime season,sonny the duck,soltex,asperity,lisbos,leeham,kyxsb,loui8s dstk,smatties,skandaras
177637803,smatties,False,wexico,a treetrump,smatties,skandaras,menelaus34,popcorn chicken,showry seo,wuke,elbardo,hi im xx
177571962,smatties,False,sosorry,nightingale 3,taoky,             zmy,             mwy,loui8s dstk,smatties,dicedstk,dark master ali,wait first love
177118769,smatties,True,jakethedogge,funkysnail,muukz,king mouss,fizzonmyface7,barilo,worst rengar aus,loui8s dstk,smatties,dicedstk
176738793,smatties,False,nun reaper,unique sm1le,mrfruittitutti,alicexprime,3c3c1d11944o927,new dr1ver,loui8s dstk,smatties,skandaras,beyoncé
176738342,smatties,False,loui8s dstk,smatties,skandaras,fangpianer,paperwhale,b4ndy,g0blin c0ckz,nioxsae,iouie,zagiri
176728050,smatties,True,loui8s dstk,smatties,skandaras,devoidsimo,ahovinsane1,fangpianer,doabarrelrolll,yanzal,lick my ass,dream kids
176353333,smatties,True,halfbreedhitman,cuffyochick,seven days keita,samoasayin,walkingd3d,smatties,skandaras,loui9sdstk,dicedstk,menelaus34
176342971,smatties,True,yasúo,taipanblaze,booga,loo,you are autistic,smatties,skandaras,loui9sdstk,dicedstk,menelaus34
176342513,smatties,True,japanda junior,yuto aztah,thonic,xkillerx,danger zone 22,smatties,skandaras,loui9sdstk,dicedstk,menelaus34
176351489,smatties,False,smatties,skandaras,loui9sdstk,dicedstk,menelaus34,spazman0,artemis the cat,pallymon,tehl0rd,puppycat
176340965,smatties,False,beyondflames,zäc,craniotomy,aca,swurlin,smatties,skandaras,loui9sdstk,dicedstk,menelaus34
176179085,smatties,False,mwaxy,smatties,skandaras,bumster,dicedstk,lets bee ,?l?lrug?l?l,gruepain,tramal sr,lii
176178735,smatties,False,lets bee ,?l?lrug?l?l,tramal sr,lii,byul sk,mwaxy,smatties,skandaras,bumster,dicedstk
155453774,2dmin,True,2dmin,sneppah tihs,big dick bandito,laolu,megacheese,skriblezzzz,dj paul,timer123,high4life,theunknown
155443429,2dmin,True,zaxyn1076,2dmin,hicksy2009,anthony79,ye brah,caitlineu,god of australia,clissic,stratz,jswagg
155452931,2dmin,True,nqsl pig,chazar,jumpst0r,diablerie ,mikeee666,flyingvdutchman,2dmin,wangmusheng,molaro,mr tommyy
155442577,2dmin,True,brvtts,king of marksman,2dmin,spitfitreavenue,swiffs,thevlav,caitlineu,hwh,walkingdead m,skunkxo
